                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.51766,                0.64226,                0.32002,                0.88506,                 0.9376,                0.90448,                0.94062,                0.74358,                 0.9376,                0.90448,                0.94062,                0.61252,                0.83245,                 1.0912,                0.44927,                 1.1003,              0.0010989,              0.0010989,              0.0010989
                     73,                0.53182,                0.66601,                0.33233,                 0.8884,                0.96445,                0.85608,                0.92551,                0.73847,                0.96445,                0.85608,                0.92421,                0.60836,                0.81214,                 1.1192,                0.51142,                  1.104,              0.0010942,              0.0010942,              0.0010942
                     74,                0.51678,                0.64791,                0.31588,                0.88716,                 0.9426,                0.89484,                 0.9428,                 0.7427,                 0.9426,                0.89484,                0.94312,                0.62749,                0.81886,                 1.1214,                0.46159,                 1.0891,              0.0010895,              0.0010895,              0.0010895
                     75,                0.51119,                0.66659,                0.32133,                0.88342,                0.91614,                0.91332,                0.93502,                0.73523,                0.91614,                0.91332,                0.93502,                0.61858,                0.82267,                 1.0902,                 0.4458,                 1.1029,              0.0010848,              0.0010848,              0.0010848
                     76,                0.50159,                0.65281,                0.31536,                0.88044,                0.97536,                0.86223,                 0.9385,                0.73389,                0.97536,                0.86223,                 0.9385,                0.60466,                0.81557,                 1.1075,                 0.4761,                 1.0779,                0.00108,                0.00108,                0.00108
                     77,                0.50308,                0.67099,                0.30671,                0.87838,                0.91183,                0.90988,                 0.9331,                0.73932,                0.91183,                0.90988,                 0.9331,                0.61827,                0.82393,                 1.1247,                0.47433,                  1.093,              0.0010753,              0.0010753,              0.0010753
                     78,                0.50689,                0.68125,                0.31579,                0.88778,                  0.956,                0.90778,                0.96375,                0.75707,                0.95891,                0.91018,                0.96453,                0.64442,                0.82018,                 1.0802,                0.40367,                 1.0991,              0.0010706,              0.0010706,              0.0010706
                     79,                0.50278,                0.65613,                0.32094,                0.88116,                0.94969,                0.87629,                0.93448,                0.73577,                0.94969,                0.87629,                0.93198,                0.60949,                0.82098,                 1.0686,                0.45239,                 1.0938,              0.0010659,              0.0010659,              0.0010659
                     80,                0.48881,                0.64959,                0.30672,                0.87985,                0.95705,                0.89926,                0.94946,                 0.7551,                0.95403,                0.89643,                 0.9429,                0.62763,                 0.8285,                 1.1161,                0.45612,                 1.0937,              0.0010612,              0.0010612,              0.0010612
                     81,                0.50221,                0.66334,                0.30611,                0.88675,                0.93094,                 0.9214,                0.94712,                0.75368,                0.93094,                 0.9214,                0.94712,                0.62235,                0.81015,                 1.0798,                0.43408,                  1.079,              0.0010565,              0.0010565,              0.0010565
                     82,                0.50404,                0.65872,                0.30728,                0.88322,                0.92579,                0.90177,                0.94657,                0.74669,                0.92579,                0.90177,                0.94657,                0.62295,                0.83603,                 1.1557,                0.49873,                 1.1023,              0.0010517,              0.0010517,              0.0010517
                     83,                0.50099,                0.65914,                0.30616,                0.88694,                0.93551,                0.89099,                0.94539,                0.75298,                0.93551,                0.89099,                0.94641,                 0.6355,                0.82483,                 1.2396,                0.46239,                 1.1107,               0.001047,               0.001047,               0.001047
                     84,                0.49631,                 0.6457,                0.29947,                0.88047,                0.93565,                0.90127,                0.92909,                0.73985,                0.94059,                0.87697,                0.92831,                0.62786,                0.81926,                 1.1119,                0.48938,                 1.0977,              0.0010423,              0.0010423,              0.0010423
                     85,                0.48597,                0.65187,                0.29438,                  0.876,                0.95815,                0.87725,                0.94368,                0.73881,                0.95862,                0.88793,                0.94514,                0.59933,                0.81329,                 1.0324,                 0.4433,                 1.0938,              0.0010376,              0.0010376,              0.0010376
                     86,                0.48284,                0.63239,                0.30437,                0.88032,                0.93547,                0.88638,                0.93652,                0.74591,                0.93547,                0.88638,                0.93532,                0.63104,                0.80499,                 1.1328,                0.43875,                 1.0903,              0.0010329,              0.0010329,              0.0010329
                     87,                0.49199,                0.63766,                 0.3086,                 0.8745,                0.96735,                0.85922,                0.91538,                 0.7233,                0.96427,                 0.8564,                0.91492,                0.60237,                 0.8164,                 1.1215,                0.49828,                 1.0919,              0.0010282,              0.0010282,              0.0010282
                     88,                0.47531,                0.62972,                0.29313,                0.86996,                0.96055,                0.85338,                0.93677,                0.73476,                0.96055,                0.85338,                0.93677,                0.61492,                 0.8118,                 1.1763,                0.46186,                 1.1083,              0.0010234,              0.0010234,              0.0010234
                     89,                0.49465,                0.61079,                0.30492,                0.88917,                0.92909,                0.89177,                0.93194,                0.74187,                0.92909,                0.89177,                0.93194,                0.62532,                0.80839,                 1.1604,                0.45636,                 1.1023,              0.0010187,              0.0010187,              0.0010187
                     90,                0.47758,                0.64171,                0.29708,                0.87343,                0.94917,                0.90136,                0.93877,                0.74835,                0.95174,                0.90385,                0.94284,                0.63222,                0.81561,                 1.2335,                0.45444,                 1.0937,               0.001014,               0.001014,               0.001014
                     91,                0.46176,                0.61318,                0.28762,                0.87047,                0.94137,                0.86581,                0.94113,                0.73853,                0.94137,                0.86581,                0.94113,                0.61685,                0.82342,                 1.2003,                0.44113,                 1.1019,              0.0010093,              0.0010093,              0.0010093
                     92,                0.46723,                 0.6145,                0.29665,                0.87012,                 0.9325,                0.88006,                0.93237,                0.74377,                 0.9325,                0.88006,                0.93237,                0.62326,                0.81536,                 1.1405,                0.48415,                 1.1162,              0.0010046,              0.0010046,              0.0010046
                     93,                 0.4578,                 0.5957,                0.28799,                0.86979,                0.96554,                0.86732,                0.94925,                 0.7542,                0.96554,                0.86732,                0.94778,                0.63814,                0.80728,                 1.1693,                0.44906,                 1.1042,             0.00099987,             0.00099987,             0.00099987
                     94,                0.47023,                0.62287,                0.28581,                0.86658,                0.94065,                 0.8907,                0.94265,                 0.7587,                0.94065,                 0.8907,                0.94265,                0.64192,                0.81555,                 1.2143,                0.48605,                 1.0999,             0.00099516,             0.00099516,             0.00099516
                     95,                0.45441,                0.61907,                 0.2832,                0.86002,                0.95612,                0.87935,                0.94497,                 0.7607,                0.95024,                 0.8737,                0.93899,                0.64808,                0.80706,                  1.194,                0.44884,                 1.0901,             0.00099044,             0.00099044,             0.00099044
                     96,                0.46789,                0.61698,                0.28501,                0.86733,                0.95437,                  0.888,                0.93707,                0.74736,                0.95437,                  0.888,                 0.9384,                0.63071,                0.82143,                 1.2033,                0.47668,                 1.0907,             0.00098572,             0.00098572,             0.00098572
                     97,                0.44542,                0.60807,                0.28081,                0.86782,                0.95828,                0.89505,                 0.9431,                0.75843,                0.95828,                0.89505,                 0.9439,                0.63596,                0.79049,                  1.227,                0.46367,                 1.0867,             0.00098101,             0.00098101,             0.00098101
                     98,                0.44901,                0.56545,                0.28434,                0.85973,                0.96242,                0.87287,                0.94777,                0.75143,                 0.9623,                0.87254,                0.94973,                0.63013,                0.79719,                 1.1539,                0.44302,                 1.0947,             0.00097629,             0.00097629,             0.00097629
                     99,                0.45389,                0.57864,                0.28577,                0.86671,                0.94032,                0.87338,                0.95128,                0.76109,                0.94032,                0.87338,                0.95128,                0.64785,                0.79256,                 1.1459,                0.44192,                 1.0803,             0.00097158,             0.00097158,             0.00097158
                    100,                0.45333,                0.61871,                0.28415,                 0.8593,                0.93911,                0.88594,                 0.9489,                0.74899,                0.93911,                0.88594,                 0.9489,                 0.6235,                0.80945,                 1.1438,                0.43499,                 1.1204,             0.00096686,             0.00096686,             0.00096686
                    101,                0.45415,                0.57928,                0.28526,                0.86212,                0.92527,                0.89293,                0.94639,                0.74343,                0.92527,                0.89293,                0.94822,                0.62538,                0.81148,                 1.1677,                 0.4064,                 1.0997,             0.00096215,             0.00096215,             0.00096215
                    102,                0.44929,                0.59248,                0.28326,                0.85703,                0.92615,                0.89023,                0.93547,                0.74307,                0.92019,                0.88458,                0.92843,                0.62805,                0.82909,                 1.3047,                0.51809,                 1.1128,             0.00095743,             0.00095743,             0.00095743
                    103,                0.45027,                0.59156,                0.28167,                0.86053,                0.95043,                0.87563,                0.93812,                0.75176,                0.95043,                0.87563,                0.93812,                0.62728,                0.81108,                 1.2079,                0.45321,                 1.0889,             0.00095271,             0.00095271,             0.00095271
                    104,                 0.4504,                0.57761,                0.27789,                0.86438,                0.95237,                0.87851,                0.93435,                0.74818,                0.94942,                0.87569,                0.92886,                0.62897,                0.81011,                 1.2246,                0.45348,                 1.0997,               0.000948,               0.000948,               0.000948
                    105,                 0.4459,                0.58695,                0.27415,                0.86384,                0.95379,                0.88027,                0.93627,                0.74103,                0.94784,                0.87462,                0.92997,                0.62447,                0.81245,                  1.197,                0.44978,                 1.0844,             0.00094328,             0.00094328,             0.00094328
                    106,                0.44112,                 0.6082,                0.26903,                0.85428,                0.93784,                0.87663,                0.93033,                0.73454,                0.93784,                0.87663,                0.93033,                0.61994,                0.81151,                 1.2544,                0.47585,                  1.098,             0.00093857,             0.00093857,             0.00093857
